zip code,location,latitude,longitude
11207,POINT (-73.896645 40.681885),40.681885, -73.896645
10454,POINT (-73.91444 40.803844),40.803844, -73.91444
11224-4003,POINT (-73.973114 40.583057),40.583057, -73.973114
10027,POINT (-73.9583 40.815685),40.815685, -73.9583
11355,POINT (-73.82453 40.74206),40.74206, -73.82453
10032,POINT (-73.94597 40.840824),40.840824, -73.94597
10453,POINT (-73.91836 40.85535),40.85535, -73.91836
11235,POINT (-73.94713 40.584625),40.584625, -73.94713
11432,POINT (-73.79419 40.719013),40.719013, -73.79419
10017,POINT (-73.967865 40.74835),40.74835, -73.967865
10162,POINT (-73.94784 40.77008),40.77008, -73.94784
10303,POINT (-74.16919 40.62055),40.62055, -74.16919
11369,POINT (-73.858246 40.760704),40.760704, -73.858246
11439,POINT (-73.7907 40.78821),40.78821, -73.7907
11251,POINT (-73.97962 40.710976),40.710976, -73.97962
11422:11434,POINT (-73.773575 40.66755),40.66755, -73.773575
11367,POINT (-73.83383 40.729572),40.729572, -73.83383
10305,POINT (-74.06895 40.603832),40.603832, -74.06895
11232,POINT (-74.00711 40.654984),40.654984, -74.00711
10460,POINT (-73.88106 40.83761),40.83761, -73.88106
10016,POINT (-73.97626 40.740025),40.740025, -73.97626
10458,POINT (-73.88747 40.859623),40.859623, -73.88747
11221,POINT (-73.924446 40.69304),40.69304, -73.924446
10472,POINT (-73.86327 40.834114),40.834114, -73.86327
11106,POINT (-73.92399 40.774612),40.774612, -73.92399
11208,POINT (-73.87548 40.688667),40.688667, -73.87548
10029-6408,POINT (-73.94428 40.781933),40.781933, -73.94428
11370,POINT (-73.888466 40.76657),40.76657, -73.888466
11413,POINT (-73.76381 40.673767),40.673767, -73.76381
10453,POINT (-73.919106 40.8541),40.8541, -73.919106
11214,POINT (-73.991875 40.58848),40.58848, -73.991875
10453,POINT (-73.91947 40.84631),40.84631, -73.91947
11368,POINT (-73.84553 40.73995),40.73995, -73.84553
11426,POINT (-73.726654 40.74091),40.74091, -73.726654
11201-1832,POINT (-73.98599 40.70075),40.70075, -73.98599
10462,POINT (-73.85564 40.83204),40.83204, -73.85564
11421,POINT (-73.86837 40.700855),40.700855, -73.86837
11414,POINT (-73.85908 40.655743),40.655743, -73.85908
10704:10705,POINT (-73.88008 40.89711),40.89711, -73.88008
10304,POINT (-74.09576 40.610508),40.610508, -74.09576
10460,POINT (-73.87415 40.83643),40.83643, -73.87415
11411,POINT (-73.72679 40.694035),40.694035, -73.72679
11374-2756,POINT (-73.86336 40.73425),40.73425, -73.86336
10031,POINT (-73.95319 40.817593),40.817593, -73.95319
11106,POINT (-73.923035 40.775383),40.775383, -73.923035
11377,POINT (-73.90109 40.739143),40.739143, -73.90109
11426,POINT (-73.731575 40.74457),40.74457, -73.731575
10314,POINT (-74.16907 40.582287),40.582287, -74.16907
10472,POINT (-73.86097 40.83328),40.83328, -73.86097
11234,POINT (-73.90808 40.592815),40.592815, -73.90808
10460,POINT (-73.871956 40.843678),40.843678, -73.871956
10462,POINT (-73.85169 40.834198),40.834198, -73.85169
11377,POINT (-73.89986 40.740093),40.740093, -73.89986
11101,POINT (-73.93262 40.74478),40.74478, -73.93262
11423,POINT (-73.76508 40.72634),40.72634, -73.76508
11432,POINT (-73.80799 40.71582),40.71582, -73.80799
10453,POINT (-73.913185 40.86157),40.86157, -73.913185
11205,POINT (-73.962265 40.69832),40.69832, -73.962265
11213,POINT (-73.93039 40.676598),40.676598, -73.93039
11421,POINT (-73.86939 40.698254),40.698254, -73.86939
11368,POINT (-73.846214 40.742657),40.742657, -73.846214
111354,POINT (-73.83911 40.76555),40.76555, -73.83911
11368,POINT (-73.85255 40.754864),40.754864, -73.85255
11697,POINT (-73.907875 40.591393),40.591393, -73.907875
10453,POINT (-73.9149 40.84731),40.84731, -73.9149
11426,POINT (-73.74535 40.754986),40.754986, -73.74535
11231,POINT (-74.001335 40.68468),40.68468, -74.001335
11415,POINT (-73.83016 40.71457),40.71457, -73.83016
11205,POINT (-73.97716 40.696297),40.696297, -73.97716
11375,POINT (-73.83802 40.72656),40.72656, -73.83802
10029-6408,POINT (-73.93675 40.790154),40.790154, -73.93675
11252,POINT (-74.03548 40.61018),40.61018, -74.03548
11214,POINT (-74.016884 40.60301),40.60301, -74.016884
11692,POINT (-73.76773 40.59626),40.59626, -73.76773
11207,POINT (-73.915504 40.68576),40.68576, -73.915504
